Temperature/K,Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
2621,0.0006,0.098,12.81,3,Red,M
2650,0.0006,0.14,11.782,3,Red,M
2799,0.0018,0.16,14.79,3,Red,M
2890,0.0034,0.24,13.46,3,Red,M
2989,0.0087,0.34,13.12,3,Red,M
2994,0.0072,0.28,13.45,3,Red,M
3091,0.0081,0.24,11.43,3,Red,M
3095,0.00018999999999999998,0.49200000000000005,10.87,3,Red,M
3100,0.008,0.31,11.17,3,Red,M
3129,0.0122,0.3761,11.79,3,Red,M
3134,0.0004,0.196,13.21,3,Red,M
3142,0.00132,0.258,14.12,3,Red,M
3150,0.0088,0.35,11.94,3,Red,M
3158,0.00135,0.161,13.98,3,Red,M
3180,0.001,0.35,11.76,3,Red,M
3192,0.0036200000000000004,0.1967,13.53,3,Red,M
3212,0.0016,0.37799999999999995,12.854000000000001,3,Red,M
3243,0.0023,0.73,14.75,3,Red,M
3257,0.0024,0.46,10.73,3,Red,M
3304,0.0085,0.18,13.2,3,Red,M
3324,0.0065,0.47100000000000003,12.78,3,Red,M
3324,0.0034,0.34,12.23,3,Red,M
3340,0.0038,0.24,13.07,3,Red,M
3342,0.0015,0.307,11.87,3,Red,M
3345,0.021,0.273,12.3,3,Red,M
3441,0.039,0.35100000000000003,11.18,3,Red,M
3462,0.0053,0.14800000000000002,11.47,3,Red,M
3463,0.0027,0.675,14.776,3,Red,M
3496,0.00125,0.336,14.94,3,Red,M
3523,0.0054,0.319,12.43,3,Red,M
3541,0.0013,0.256,14.33,3,Red,M
3542,0.0009,0.62,14.23,3,Red,M
3550,0.004,0.29100000000000004,10.89,3,Red,M
3598,0.0011,0.56,14.26,3,Red,M
3598,0.0027,0.67,13.667,3,Red,M
3600,0.0029,0.51,10.69,3,Red,M
3607,0.022000000000000002,0.38,10.12,3,Red,M
3607,0.00022999999999999998,0.38,10.34,3,Red,M
3628,0.0055,0.39299999999999996,10.48,3,Red,M
3692,0.00367,0.47,10.8,3,Red,M
4077,0.085,0.795,6.228,3,yellowish,K
4526,0.153,0.865,6.506,3,yellowish,K
4980,0.35700000000000004,1.13,4.78,3,Yellowish,K
5112,0.63,0.8759999999999999,4.68,3,Orange-Red,K
5300,0.59,0.91,5.49,3,yellow-white,F
5587,0.8190000000000001,0.99,5.03,3,yellow-white,F
5800,0.81,0.9,5.05,3,yellow-white,F
5936,1.357,1.1059999999999999,4.46,3,yellow-white,F
6380,1.35,0.98,2.93,3,yellow-white,F
6757,1.43,1.12,2.41,3,yellow-white,F
7720,7.92,1.34,2.44,3,yellow-white,F
8052,8.7,1.8,2.42,3,Whitish,A
8250,9.25,1.93,-0.98,3,yellow-white,F
8945,38.0,2.487,0.12,3,Blue-White,A
9030,45.0,2.63,1.45,3,Blue-white,A
9320,29.0,1.91,1.236,3,Blue-white,A
9700,74.0,2.89,0.16,3,Whitish,B
10012,552.0,5.856,0.013000000000000001,3,Blue-white,A
11250,672.0,6.98,-2.3,3,Blue-white,A
12098,689.0,7.01,0.02,3,Blue-white,A
13023,998.0,6.21,-1.38,3,Blue-white,A
13089,788.0,5.992000000000001,-0.12,3,Blue-white,A
14060,1092.0,5.745,-2.04,3,Blue-white,A
16390,1278.0,5.68,-3.32,3,Blue-white,B
22012,6748.0,6.64,-2.55,3,Blue-white,B
25070,14500.0,5.92,-3.98,3,Blue-white,B
26140,14520.0,5.49,-3.8,3,Blue-white,B
30000,28840.0,6.3,-4.2,3,Blue-white,B
